date,title,url,category,source
2026-05-29,"Anthropic、$30B調達で評価額$900B超へ - OpenAIを逆転か",https://www.bloomberg.com/news/articles/2026-05-22/anthropic-to-close-over-30-billion-round-as-soon-as-next-week,AI企業,Bloomberg
2026-05-29,"Google I/O 2026：Gemini 3.5 Flash・Gemini Spark・Omniモデルを一挙発表",https://cloud.google.com/blog/products/ai-machine-learning/innovations-from-google-io-26-on-google-cloud,AI製品,Google Cloud Blog
2026-05-29,"Apple、iOS 27でサードパーティAIを選択可能に - Gemini・ClaudeをSiriに統合へ",https://9to5mac.com/2026/05/05/ios-27-will-let-you-choose-between-gemini-claude-and-more-for-ai-features-report/,AI製品,9to5Mac
2026-05-29,"MicrosoftとOpenAI、独占パートナーシップを解消 - 非排他的ライセンスへ移行",https://openai.com/index/next-phase-of-microsoft-partnership/,AI企業,OpenAI
2026-05-29,"Anthropic、Claude Managed Agentsに自己学習・マルチエージェント機能を追加",https://www.anthropic.com/engineering/managed-agents,AI製品,Anthropic
2026-05-29,"外食業分野の特定技能1号、2026年4月13日より新規受入れ停止",https://www.moj.go.jp/isa/applications/ssw/03_00001.html,外国人材,出入国在留管理庁
2026-05-29,"特定技能「工業製品製造業」分野、2026年6月1日から業務区分が17区分に拡大",https://www.meti.go.jp/policy/mono_info_service/gaikokujinzai/kogyoseihin-seizogyo_gaiyo.pdf,外国人材,経済産業省
2026-05-29,"育成就労制度、自動車整備・工業製品製造業の上乗せ基準告示を相次ぎ公布",https://www.moj.go.jp/isa/03_00163.html,外国人材,出入国在留管理庁
2026-05-29,"厚生労働省、外国人雇用に関する事業主向け指針を改定——6月14日施行予定",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/koyou_roudou/koyou/gaikokujin/index.html,外国人材,厚生労働省
2026-05-29,"特定技能在留外国人数が39万人突破——特定技能2号は半年で2.6倍に急増",https://www.moj.go.jp/isa/policies/ssw/nyuukokukanri07_00215.html,外国人材,出入国在留管理庁
2026-05-30,"OpenAIがAI規制対応のフロンティア・ガバナンス・フレームワークを公開",https://openai.com/index/openai-frontier-governance-framework/,AI規制/安全,OpenAI
2026-05-30,"Groq、Nvidiaとの$20B契約後に独立法人Groq2として$650M調達へ",https://techcrunch.com/2026/05/29/after-nvidias-20b-not-acqui-hire-ai-chip-startup-groq-reportedly-raising-650m/,AI企業,TechCrunch
2026-05-30,"インターネットはAIエージェント向けに再構築される — AWSとCloudflareがインフラ刷新",https://techcrunch.com/2026/05/28/the-internet-is-being-rebuilt-for-machines/,AIインフラ,TechCrunch
2026-05-30,"アリババ、Nvidia H20比3倍のAIチップZhenwu M890とQwen3.7-Maxを発表",https://www.cnbc.com/2026/05/19/alibaba-reveals-more-powerful-zhenwu-ai-chip-new-llm.html,AIハードウェア,CNBC
2026-05-30,"ローマ法王レオ14世がAI時代の人間保護を訴える回勅Magnifica Humanitasを発表",https://time.com/article/2026/05/25/pope-leo-encyclical-ai-magnifica-humanitas/,AI倫理/政策,TIME
2026-05-30,"改正入管法成立、在留手数料上限が最大30倍に——電子渡航認証制度（JESTA）も創設",https://www.jiji.com/jc/article?k=2026052900122&g=pol,外国人材,時事通信
2026-05-30,"JNTO発表：2026年4月訪日外客数369万2200人・前年比5.5%減——2026年単月最高を記録",https://www.jnto.go.jp/news/press/20260520_monthly.html,インバウンド,日本政府観光局（JNTO）
2026-05-30,"育成就労制度：監理支援機関の許可申請が2026年4月15日より受付開始",https://www.moj.go.jp/isa/applications/index_00005.html,外国人材,出入国在留管理庁
